alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
22.38,2.0,82.18,,yt03_003363.jpg,82.18,165.02,63.5,True,81.14,4.02,147.78,yt03,0.7,Neutral Standing,,46.65,True,32.59,33.14
28.72,2.0,59.11,,yt03_003540.jpg,59.11,115.65,74.99,True,139.78,53.87,85.65,yt03,0.7,Neutral Standing,,85.57,True,26.6,201.89
9.11,2.0,4.08,,yt03_003599.jpg,4.08,164.6,30.61,True,52.81,37.97,11.24,yt03,0.7,Neutral Standing,,54.24,True,1.6,7.12
13.69,2.0,63.01,,yt03_003717.jpg,63.01,134.13,91.89,True,17.28,90.14,7.61,yt03,0.7,Neutral Standing,,54.06,True,18.43,15.2
5.22,2.0,21.25,,yt03_003835.jpg,21.25,157.46,34.54,True,99.0,37.97,7.54,yt03,0.7,Neutral Standing,,95.1,True,3.49,24.25
9.48,2.0,61.44,,yt03_004071.jpg,61.44,142.1,106.5,True,87.32,152.89,91.75,yt03,0.7,Neutral Standing,,169.67,True,6.94,53.88
9.17,2.0,36.5,,yt03_004130.jpg,36.5,176.42,98.34,True,111.2,112.14,57.17,yt03,0.7,Neutral Standing,,162.14,True,9.14,21.4
8.6,2.0,37.41,,yt03_004189.jpg,37.41,158.88,110.76,True,87.97,124.38,99.89,yt03,0.7,Neutral Standing,,174.79,True,8.18,28.28
14.7,2.0,30.95,,yt03_004248.jpg,30.95,167.44,155.11,True,162.23,160.14,23.85,yt03,0.7,Neutral Standing,,172.81,True,0.89,66.01
13.86,2.0,49.92,,yt03_004307.jpg,49.92,137.78,110.65,True,145.26,176.91,34.91,yt03,0.7,Neutral Standing,,167.7,True,1.02,105.08
7.85,2.0,15.89,,yt03_004366.jpg,15.89,169.65,156.58,True,152.71,140.95,28.87,yt03,0.7,Neutral Standing,,155.92,True,3.8,16.94
16.5,2.0,79.18,,yt03_004425.jpg,79.18,110.91,95.17,True,179.38,110.48,6.52,yt03,0.7,Neutral Standing,,121.68,True,2.49,61.92
12.91,2.0,8.76,,yt03_004543.jpg,8.76,174.25,115.75,True,98.7,128.27,28.23,yt03,0.7,Neutral Standing,,159.58,True,2.92,18.83
13.21,2.0,10.48,,yt03_004602.jpg,10.48,161.81,128.85,True,95.44,143.12,24.56,yt03,0.7,Neutral Standing,,165.31,True,3.03,30.9
13.58,2.0,7.18,,yt03_004661.jpg,7.18,144.01,121.78,True,94.78,140.34,26.65,yt03,0.7,Neutral Standing,,162.17,True,3.53,33.2
20.17,2.0,108.13,,yt03_005074.jpg,108.13,143.23,167.52,True,69.75,163.02,83.08,yt03,0.7,Neutral Standing,,158.83,True,0.19,74.9
24.77,2.0,98.27,,yt03_005133.jpg,98.27,71.54,167.27,True,81.5,178.35,27.33,yt03,0.7,Neutral Standing,,165.02,True,1.46,92.87
13.73,2.0,13.32,,yt03_005310.jpg,13.32,28.17,147.44,True,142.86,107.02,2.21,yt03,0.7,Neutral Standing,,127.41,True,6.26,24.31
12.7,2.0,46.46,,yt03_005369.jpg,46.46,120.03,166.77,True,152.27,162.64,14.28,yt03,0.7,Neutral Standing,,177.69,True,16.26,12.89
16.09,2.0,21.62,,yt03_005428.jpg,21.62,94.14,133.21,True,136.26,95.54,0.42,yt03,0.7,Neutral Standing,,106.59,True,0.18,37.26
11.4,2.0,36.7,0,yt_01_000000.jpg,36.7,162.48,161.8,True,139.26,172.61,2.63,video_1,0.7,Assembly Work,0.0,155.84,True,0.51,34.15
19.67,2.0,132.67,50,yt_01_000050.jpg,132.67,133.23,170.07,True,112.68,159.5,7.89,video_1,0.7,Assembly Work,0.0,152.72,True,14.59,40.48
12.14,2.0,54.17,100,yt_01_000100.jpg,54.17,176.08,158.85,True,89.17,162.07,5.11,video_1,0.7,Assembly Work,0.0,136.33,True,4.36,79.92
